play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
Fresno St. Bulldogs,15,61.4,66.1,21.0,34.1,17.6,33.8,53.2,69.7,27.8,34.1,19.0,29.1
Furman Paladins,16,52.4,69.5,24.9,40.0,22.7,32.1,46.9,64.2,34.6,38.6,18.6,33.2
Gardner-Webb Runnin' Bulldogs,18,57.7,63.3,25.3,30.3,17.0,33.2,57.2,70.5,25.7,41.3,17.0,36.3
George Mason Patriots,16,64.8,70.9,25.5,39.8,9.7,37.5,49.0,64.5,34.7,34.5,16.3,32.1
George Washington Revolutionaries,16,62.8,68.0,21.6,36.2,15.6,39.2,55.2,66.8,28.6,34.6,16.2,28.9
Georgetown Hoyas,15,62.9,68.4,25.8,36.5,11.3,31.2,54.8,66.5,31.0,40.3,14.2,36.6
Georgia Bulldogs,15,60.0,75.7,24.4,36.1,15.6,32.7,59.4,58.5,26.7,39.3,13.9,27.6
Georgia Southern Eagles,17,58.3,66.6,23.8,37.2,17.9,31.1,57.6,65.3,25.3,34.4,17.2,32.1
Georgia St. Panthers,16,47.6,67.6,35.0,35.5,17.4,28.9,58.5,64.5,26.6,32.5,14.9,38.5
Georgia Tech Yellow Jackets,16,62.2,65.6,24.9,38.6,12.9,38.1,51.8,65.8,32.4,35.2,15.8,27.6
Gonzaga Bulldogs,17,60.4,70.5,29.9,44.2,9.8,37.7,51.6,64.2,30.6,32.5,17.8,28.7
Grambling Tigers,14,63.1,67.8,24.1,41.3,12.7,31.5,60.4,70.9,24.7,37.8,15.0,34.4
Grand Canyon Lopes,14,56.7,70.0,31.4,35.9,11.8,32.0,54.1,65.6,34.6,34.9,11.4,36.3
Green Bay Phoenix,16,64.7,67.2,22.0,40.5,13.3,31.4,54.5,67.6,28.6,40.0,16.8,35.5
Hampton Pirates,16,56.4,67.0,27.5,37.9,16.2,28.4,58.7,65.7,26.1,32.9,15.2,27.9
Harvard Crimson,15,55.8,67.1,31.0,40.3,13.3,31.6,57.0,65.8,25.9,36.2,17.1,33.3
Hawai'i Rainbow Warriors,14,64.4,67.5,23.6,38.1,12.0,28.1,58.7,56.5,30.9,31.5,10.4,26.5
High Point Panthers,18,62.2,73.9,20.4,43.6,17.5,37.8,53.7,68.0,28.0,34.4,18.3,33.1
Hofstra Pride,15,54.8,67.6,28.4,40.4,16.8,35.4,54.5,61.5,30.1,34.7,15.3,30.6
Holy Cross Crusaders,16,54.9,63.7,30.3,38.1,14.8,28.7,55.6,69.6,34.2,38.2,10.2,32.4
Houston Christian Huskies,15,61.8,65.7,20.1,34.6,18.2,27.8,56.9,66.9,27.6,41.6,15.5,34.3
Houston Cougars,15,45.1,71.5,33.5,39.4,21.4,39.0,53.9,63.3,27.4,33.0,18.7,29.0
Howard Bison,16,63.9,62.7,23.7,39.8,12.4,31.8,60.5,69.1,25.4,30.3,14.1,35.7
IU Indianapolis Jaguars,17,50.5,69.0,29.5,35.6,20.1,30.1,66.9,71.0,20.1,39.8,13.0,37.9
Idaho St. Bengals,15,59.3,69.6,27.3,39.8,13.4,32.2,59.0,67.5,29.0,39.2,12.0,32.1
Idaho Vandals,14,52.1,68.7,29.0,34.2,19.0,42.9,52.2,65.7,32.8,36.5,15.0,28.0
Illinois Fighting Illini,14,55.3,73.3,29.0,33.7,15.7,38.3,46.8,58.5,38.4,33.1,14.8,32.7
Illinois St. Redbirds,16,54.8,66.0,31.2,45.1,14.0,33.9,51.0,64.4,36.7,35.0,12.3,30.6
Incarnate Word Cardinals,15,55.0,65.3,27.2,41.1,17.8,41.0,61.9,68.3,24.0,39.7,14.1,34.0
Indiana Hoosiers,15,55.6,73.4,24.4,39.9,20.1,36.9,55.7,63.2,34.9,32.6,9.4,31.4
Indiana St. Sycamores,16,54.1,69.4,28.0,36.7,17.9,31.7,52.3,61.2,35.6,39.5,12.0,33.3
Iona Gaels,16,53.9,64.2,29.0,39.0,17.1,37.3,53.6,66.0,31.0,35.0,15.4,31.5
Iowa Hawkeyes,15,61.7,70.7,25.0,42.1,13.2,41.3,57.8,65.8,30.2,34.2,12.1,27.7
Iowa St. Cyclones,15,59.0,68.4,27.6,45.0,13.3,41.6,51.2,62.6,32.4,31.2,16.4,34.9
Jackson St. Tigers,14,47.0,63.3,32.4,32.6,20.7,33.8,56.8,71.9,25.8,41.5,17.4,37.2
Jacksonville Dolphins,15,53.4,64.6,24.5,39.5,22.2,34.4,59.4,67.5,25.3,41.1,15.3,31.8
Jacksonville St. Gamecocks,15,61.1,64.1,25.7,37.8,13.2,32.5,53.8,65.4,32.6,30.3,13.6,32.0
James Madison Dukes,16,56.3,68.1,28.3,31.9,15.4,37.8,57.9,69.1,27.7,34.4,14.4,34.4
Justice College Lions,3,56.4,49.6,31.3,28.8,12.3,30.8,71.4,64.2,12.6,45.5,16.0,26.2
Kansas City Roos,15,60.9,64.3,25.9,32.6,13.2,34.0,61.1,67.2,24.6,34.4,14.2,38.8
Kansas Jayhawks,15,58.6,70.4,28.7,36.0,12.6,34.0,54.3,59.0,30.9,30.3,14.8,26.4
Kansas St. Wildcats,15,58.2,68.1,25.1,37.9,16.7,34.8,59.7,67.9,24.6,37.6,15.8,30.4
Kennesaw St. Owls,14,61.0,64.4,23.0,33.7,16.0,32.8,60.4,65.1,26.3,35.5,13.3,34.4
Kent St. Golden Flashes,15,59.0,73.1,23.9,33.7,17.0,39.2,55.3,65.7,26.3,37.5,18.4,36.5
Kentucky Christian Knights,4,50.2,55.6,32.3,32.2,17.5,34.0,62.6,77.1,20.2,44.6,17.1,36.4
Kentucky Wildcats,15,59.0,71.9,27.4,32.9,13.6,36.0,53.4,66.8,34.8,33.5,11.8,29.4
LSU Tigers,14,61.0,75.5,23.6,40.9,15.4,34.3,51.8,61.8,31.7,36.3,16.5,37.1
La Salle Explorers,16,62.9,63.5,25.7,33.8,11.4,32.3,53.6,65.4,27.9,39.1,18.5,34.4
La Sierra Golden Eagles,3,40.2,59.2,43.9,31.3,15.9,20.0,50.6,70.1,30.6,37.3,18.8,19.6
Lafayette Leopards,15,57.0,64.1,28.5,33.1,14.5,39.0,56.4,67.3,28.2,39.6,15.4,34.7
Lamar Cardinals,15,50.4,65.6,36.2,36.8,13.4,32.9,58.6,65.6,29.1,36.2,12.3,33.8
Le Moyne Dolphins,15,58.3,68.9,23.8,36.9,17.9,34.5,54.7,65.3,27.4,39.1,17.9,38.1
Lehigh Mountain Hawks,16,51.3,68.3,29.8,35.1,19.0,35.6,59.9,62.3,30.0,44.0,10.1,27.9
Liberty Flames,14,54.2,68.7,19.7,51.5,26.2,37.6,56.3,62.2,27.6,37.4,16.1,31.5
Lincoln University (CA) Oaklanders,5,48.3,53.4,29.2,34.3,22.5,35.8,69.0,79.5,21.0,44.2,10.0,42.2
Lindenwood Lions,16,61.7,67.4,29.2,35.6,9.1,29.8,57.2,62.2,30.1,31.7,12.6,30.4
Lipscomb Bisons,15,54.0,66.1,27.1,35.4,18.9,37.8,55.3,64.3,28.0,33.9,16.7,35.9
Little Rock Trojans,15,57.2,65.6,29.7,32.7,13.1,39.3,55.4,66.2,21.4,37.2,23.2,40.5
Long Beach St. Beach,15,54.8,67.5,31.3,35.4,14.0,31.4,61.0,69.2,24.2,42.4,14.8,40.6
