Team,Games,Record,WinPct,RawOffEff,RawDefEff,RawNetEff,AvgTempo,OffEffStd,DefEffStd,AvgPointsFor,AvgPointsAgainst,AvgMargin,RawRank
Radford Highlanders,15,6-9,0.4,92.43017691769111,95.76241567490148,-3.332238757210402,84.86956521739133,13.768903933191787,11.383656373367275,78.46666666666667,81.46666666666667,-3.0,220.0
Oregon State Beavers,19,9-10,0.47368421052631576,90.6137083933341,93.95939102187059,-3.3456826285364993,78.72425629290619,9.13972868581148,9.330930529114191,71.05263157894737,74.3157894736842,-3.263157894736842,221.0
Brown Bears,13,4-9,0.3076923076923077,90.68437166335632,94.06776508878046,-3.3833934254241367,73.29431438127091,9.422222586539391,9.57603528233838,66.23076923076923,69.3076923076923,-3.076923076923077,222.0
Colgate Raiders,15,7-8,0.4666666666666667,91.41982143271647,94.86166004876502,-3.4418386160485444,80.44202898550725,7.966266422100661,7.248697003816503,73.6,76.46666666666667,-2.8666666666666667,223.0
Towson Tigers,16,7-9,0.4375,90.40042390958762,94.11346497930127,-3.71304106971366,73.18614130434781,10.910613696640203,10.444543990893047,66.0625,69.0625,-3.0,224.0
Montana Grizzlies,13,6-7,0.46153846153846156,92.39006488619818,96.31078981465652,-3.9207249284583248,83.52842809364549,11.23589695132433,9.31186470788486,77.38461538461539,80.53846153846153,-3.1538461538461537,225.0
Nicholls Colonels,15,7-8,0.4666666666666667,91.58105157889946,95.53005953221165,-3.949007953312186,80.36231884057972,8.092838618140034,10.478119798666276,73.66666666666667,77.0,-3.3333333333333335,226.0
Boston University Terriers,16,6-10,0.375,91.79640036437263,95.88415519118294,-4.087754826810326,80.36684782608695,8.557411771711564,7.5017147228474,74.25,76.9375,-2.6875,227.0
Cal State Northridge Matadors,16,8-8,0.5,92.86486819558945,96.95457624885499,-4.089708053265538,84.95923913043478,12.728209375467971,9.529434938825025,79.3125,82.25,-2.9375,228.0
Le Moyne Dolphins,16,6-10,0.375,91.53444622851185,95.63222043815483,-4.097774209642977,79.49728260869566,11.465021260420308,12.826492976847582,72.625,76.5,-3.875,229.0
Oakland Golden Grizzlies,16,8-8,0.5,94.94790948038252,99.09375718628415,-4.145847705901623,86.12092391304347,12.169286582942512,13.558504661586968,82.3125,85.1875,-2.875,230.0
Northeastern Huskies,16,5-11,0.3125,92.10498059469265,96.31168607197404,-4.206705477281384,82.99592391304347,7.8554658385297005,9.181142565399188,76.4375,80.25,-3.8125,231.0
UT Rio Grande Valley Vaqueros,14,4-10,0.2857142857142857,90.37022556107671,94.64564745479632,-4.275421893719594,77.64751552795032,8.145108775818176,8.651404443716979,70.21428571428571,73.57142857142857,-3.357142857142857,232.0
Hampton Pirates,16,6-10,0.375,90.18021480019999,94.54200742202224,-4.36179262182223,74.375,8.171038868876376,8.174934171716234,67.25,70.25,-3.0,233.0
Rutgers Scarlet Knights,16,8-8,0.5,90.06760405322248,94.4462848356664,-4.378680782443905,77.12635869565219,12.319541523879842,12.146759942574974,69.3125,73.0625,-3.75,234.0
Texas State Bobcats,16,7-9,0.4375,90.2868303637506,94.94928074736052,-4.662450383609918,79.0149456521739,8.842619390671745,9.742103881948948,71.3125,75.1875,-3.875,235.0
American University Eagles,15,7-8,0.4666666666666667,90.76676043254484,95.51472104893664,-4.747960616391786,79.97101449275361,11.179936955342404,13.65544888047761,72.46666666666667,76.73333333333333,-4.266666666666667,236.0
Maryland Terrapins,16,7-9,0.4375,91.50072088785876,96.2909457788079,-4.790224890949149,80.1086956521739,11.772890783190165,12.897857611306847,73.375,77.4375,-4.0625,237.0
Longwood Lancers,16,7-9,0.4375,89.80650045755232,94.63794398689214,-4.83144352933982,81.16847826086956,7.472998559527578,7.024332963601672,72.9375,76.8125,-3.875,238.0
Central Arkansas Bears,15,5-10,0.3333333333333333,90.14491700426778,95.20323114388036,-5.058314139612569,82.09420289855073,14.293728822272643,14.797361313596475,74.06666666666666,78.2,-4.133333333333334,239.0
Coastal Carolina Chanticleers,17,8-9,0.47058823529411764,89.63814807663073,94.78015257696404,-5.1420045003333215,77.54475703324809,11.42942176693662,11.241487354930749,69.58823529411765,73.47058823529412,-3.8823529411764706,240.0
Merrimack Warriors,17,10-7,0.5882352941176471,89.52906332075247,94.75851837859395,-5.229455057841486,74.37979539641944,10.500355242572029,10.226705095028617,66.6470588235294,70.47058823529412,-3.823529411764706,241.0
Utah Tech Trailblazers,15,6-9,0.4,89.59774738337639,94.9059563203273,-5.30820893695093,82.72463768115942,7.378660732687547,7.671127717671402,74.0,78.66666666666667,-4.666666666666667,242.0
UNC Asheville Bulldogs,15,5-10,0.3333333333333333,90.50457054542814,95.88061463975706,-5.376044094328908,79.44927536231883,9.367061589595313,9.084139034031598,72.2,76.13333333333334,-3.933333333333333,243.0
Samford Bulldogs,15,7-8,0.4666666666666667,90.73982483625987,96.34165664522162,-5.601831808961751,82.98550724637681,11.912409986429799,10.892597034536422,75.6,79.86666666666666,-4.266666666666667,244.0
Delaware Blue Hens,15,5-10,0.3333333333333333,89.13476180364059,94.86523819635941,-5.7304763927188525,74.38405797101449,9.438691760479145,9.43869176047914,66.13333333333334,70.73333333333333,-4.6,245.0
Princeton Tigers,16,5-11,0.3125,89.37784082744055,95.13604806144835,-5.758207234007791,75.86956521739131,8.036385745331538,9.096373873350675,67.5625,72.5,-4.9375,246.0
Grambling Tigers,14,6-8,0.42857142857142855,89.05661307396154,94.94338692603846,-5.886773852076905,78.92080745341615,9.04492296057415,9.044922960574151,70.21428571428571,75.0,-4.785714285714286,247.0
Green Bay Phoenix,15,7-8,0.4666666666666667,89.56488720902989,95.57585353171085,-6.010966322680966,79.87681159420289,10.525248810340335,11.60468413203027,71.46666666666667,76.53333333333333,-5.066666666666666,248.0
Howard Bison,14,6-8,0.42857142857142855,88.99298755074194,95.00701244925806,-6.014024898516132,74.72826086956522,8.460538433971937,8.460538433971934,66.35714285714286,71.14285714285714,-4.785714285714286,249.0
Western Michigan Broncos,14,6-8,0.42857142857142855,89.2811983115246,95.30610327577699,-6.024904964252356,83.2531055900621,12.41931247903481,12.520123207224923,74.42857142857143,79.28571428571429,-4.857142857142857,250.0
