Date,Visitor,Home,V_Score,H_Score,Predicted_Spread,Market_Spread,Spread_Edge,Predicted_Total,Market_Total,Total_Edge,Bet_Signals
2025-12-30,Butler,Creighton,67.8,78.6,10.8,-5.5,5.3,146.2,153.5,7.3,TOTAL UNDER 153.5 (5.0%); SPREAD Creighton -5.5 (5.0%)
2025-12-30,Nevada,Colorado St.,64.1,74.2,10.1,3.5,13.6,137.8,145.5,7.7,TOTAL UNDER 145.5 (5.0%); SPREAD Colorado St. +3.5 (5.0%)
2025-12-30,New Hampshire,Nebraska,55.7,96.9,41.2,-31.5,9.7,149.4,144.5,4.9,TOTAL OVER 144.5 (5.0%); SPREAD Nebraska -31.5 (5.0%)
2025-12-30,Notre Dame,Stanford,68.1,74.3,6.1,-5.5,0.6,140.5,145.5,5.0,TOTAL UNDER 145.5 (5.0%)
2025-12-30,Saint Mary's,Pepperdine,87.5,60.5,-27.0,19.5,7.5,137.2,141.5,4.3,SPREAD Saint Mary's -19.5 (5.0%)
2025-12-30,Utah St.,Fresno St.,88.7,74.7,-13.9,13.5,0.4,156.0,152.5,3.5,TOTAL OVER 152.5 (5.0%)
2025-12-30,Gonzaga,San Diego,110.5,74.9,-35.6,29.5,6.1,163.9,162.5,1.4,SPREAD Gonzaga -29.5 (5.0%)
2025-12-30,Pacific,Loyola Marymount,65.0,71.5,6.5,-5.5,1.0,136.4,137.5,1.1,
2025-12-30,San Diego St.,San Jose St.,73.5,64.0,-9.4,10.5,1.1,137.9,143.5,5.6,TOTAL UNDER 143.5 (5.0%)
2025-12-30,San Francisco,Oregon St.,73.3,72.8,-0.5,4.5,4.0,142.0,143.5,1.5,SPREAD Oregon St. +4.5 (5.0%)
2025-12-30,Santa Clara,Portland,87.5,73.1,-14.3,13.5,0.8,154.5,156.5,2.0,
2025-12-30,Washington St.,Seattle,75.7,75.8,0.2,4.5,4.7,150.9,142.5,8.4,TOTAL OVER 142.5 (5.0%); SPREAD Seattle +4.5 (5.0%)
2025-12-30,New Mexico,Boise St.,77.1,75.2,-1.9,-5.5,7.4,149.5,147.5,2.0,SPREAD New Mexico +5.5 (5.0%)
2025-12-31,Army,Lehigh,70.9,75.4,4.6,-3.5,1.1,146.2,142.5,3.7,TOTAL OVER 142.5 (5.0%)
2025-12-31,Lamar,East Texas A&M,66.4,63.2,-3.2,5.5,2.3,129.1,142.5,13.4,TOTAL UNDER 142.5 (5.0%); SPREAD East Texas A&M +5.5 (5.0%)
2025-12-31,Loyola Chicago,Rhode Island,76.1,74.8,-1.3,9.5,8.2,151.0,146.5,4.5,TOTAL OVER 146.5 (5.0%); SPREAD Rhode Island +9.5 (5.0%)
2025-12-31,Mercer,Furman,67.3,77.3,10.0,1.5,11.5,144.6,155.5,10.9,TOTAL UNDER 155.5 (5.0%); SPREAD Furman +1.5 (5.0%)
2025-12-31,Tulane,East Carolina,73.2,75.2,2.0,-1.5,0.5,146.1,144.5,1.6,
2025-12-31,Wake Forest,NC State,72.4,67.5,-4.9,9.5,4.6,139.4,158.5,19.1,TOTAL UNDER 158.5 (5.0%); SPREAD NC State +9.5 (5.0%)
2025-12-31,Boston University,Navy,66.7,68.9,2.2,-5.5,3.3,135.4,137.5,2.1,SPREAD Boston University +5.5 (5.0%)
2025-12-31,Buffalo,Northern Illinois,72.3,73.3,1.0,-6.5,5.5,146.5,152.5,6.0,TOTAL UNDER 152.5 (5.0%); SPREAD Buffalo +6.5 (5.0%)
2025-12-31,Loyola MD,American,64.6,70.8,6.2,10.5,16.7,135.1,153.5,18.4,TOTAL UNDER 153.5 (5.0%); SPREAD American +10.5 (5.0%)
2025-12-31,South Alabama,Louisiana,75.1,64.1,-10.9,-2.5,13.4,137.0,124.5,12.5,TOTAL OVER 124.5 (5.0%); SPREAD South Alabama +2.5 (5.0%)
2025-12-31,UTSA,Florida Atlantic,81.3,84.9,3.6,-16.5,12.9,157.7,155.5,2.2,SPREAD UTSA +16.5 (5.0%)
2025-12-31,Wofford,Western Carolina,76.4,63.8,-12.5,-1.5,14.0,140.0,153.5,13.5,TOTAL UNDER 153.5 (5.0%); SPREAD Wofford +1.5 (5.0%)
2025-12-31,Virginia,Virginia Tech,61.3,64.9,3.6,-5.5,1.9,126.2,153.5,27.3,TOTAL UNDER 153.5 (5.0%)
2025-12-31,Appalachian St.,Old Dominion,62.8,61.9,-0.9,2.5,1.6,125.1,137.5,12.4,TOTAL UNDER 137.5 (5.0%)
2025-12-31,Bucknell,Holy Cross,72.6,65.7,-6.9,2.5,4.4,138.8,136.5,2.3,SPREAD Bucknell -2.5 (5.0%)
2025-12-31,Campbell,Monmouth,71.1,74.7,3.5,-1.5,2.0,144.9,152.5,7.6,TOTAL UNDER 152.5 (5.0%); SPREAD Monmouth -1.5 (5.0%)
2025-12-31,Charleston,Elon,71.9,73.9,1.9,3.5,5.4,145.7,156.5,10.8,TOTAL UNDER 156.5 (5.0%); SPREAD Elon +3.5 (5.0%)
2025-12-31,Charleston Southern,Gardner-Webb,65.9,73.8,7.9,-12.5,4.6,139.9,162.5,22.6,TOTAL UNDER 162.5 (5.0%); SPREAD Charleston Southern +12.5 (5.0%)
2025-12-31,Clemson,Syracuse,80.0,66.8,-13.2,-1.5,14.7,144.0,141.5,2.5,SPREAD Clemson +1.5 (5.0%)
2025-12-31,Fordham,Dayton,73.6,81.4,7.8,-16.5,8.7,150.3,138.5,11.8,TOTAL OVER 138.5 (5.0%); SPREAD Fordham +16.5 (5.0%)
2025-12-31,George Mason,La Salle,74.7,62.2,-12.6,9.5,3.1,137.1,136.5,0.6,SPREAD George Mason -9.5 (5.0%)
2025-12-31,High Point,UNC Asheville,88.0,79.9,-8.1,12.5,4.4,148.2,155.5,7.3,SPREAD UNC Asheville +12.5 (5.0%)
2025-12-31,NJIT,Penn,64.2,71.1,6.9,-14.5,7.6,135.8,150.5,14.7,TOTAL UNDER 150.5 (5.0%); SPREAD NJIT +14.5 (5.0%)
2025-12-31,Radford,USC Upstate,76.3,66.9,-9.5,-1.5,11.0,142.9,158.5,15.6,TOTAL UNDER 158.5 (5.0%); SPREAD Radford +1.5 (5.0%)
2025-12-31,Rice,Tulsa,69.1,66.3,-2.8,-13.5,16.3,134.9,153.5,18.6,TOTAL UNDER 153.5 (5.0%); SPREAD Rice +13.5 (5.0%)
2025-12-31,St. Bonaventure,VCU,61.8,77.8,16.0,-10.5,5.5,139.4,156.5,17.1,TOTAL UNDER 156.5 (5.0%); SPREAD VCU -10.5 (5.0%)
2025-12-31,Stony Brook,William & Mary,68.6,79.0,10.3,-10.5,0.2,145.5,157.5,12.0,TOTAL UNDER 157.5 (5.0%)
2025-12-31,Texas St.,Troy,64.7,81.7,17.0,8.5,25.5,143.5,144.5,1.0,SPREAD Troy +8.5 (5.0%)
2025-12-31,Towson,Hampton,69.4,71.1,1.7,5.5,7.2,136.8,136.5,0.3,SPREAD Hampton +5.5 (5.0%)
2025-12-31,Colgate,Lafayette,69.8,70.8,1.0,6.5,7.5,140.2,147.5,7.3,TOTAL UNDER 147.5 (5.0%); SPREAD Lafayette +6.5 (5.0%)
2025-12-31,Winthrop,Longwood,84.6,85.9,1.3,-8.5,7.2,164.6,161.5,3.1,TOTAL OVER 161.5 (5.0%); SPREAD Winthrop +8.5 (5.0%)
